,Action
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,1
14,0
15,0
16,2
17,0
18,0
19,2
20,3
21,1
22,0
23,3
24,1
25,2
26,3
27,3
28,2
29,2
30,2
31,2
32,2
33,2
34,3
35,2
36,2
37,2
38,1
39,0
40,0
41,2
42,0
43,1
44,0
45,0
46,2
47,3
48,3
49,3
50,0
51,3
52,0
53,2
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,2
63,2
64,0
65,3
66,2
67,0
68,1
69,1
70,1
71,0
72,3
73,1
74,0
75,0
76,0
77,1
78,2
79,3
80,0
81,0
82,0
83,2
84,0
85,2
86,0
87,2
88,1
89,0
90,0
91,2
92,1
93,1
94,0
95,1
96,0
97,0
98,0
99,0
100,1
101,1
102,1
103,0
104,3
105,0
106,3
107,0
108,2
109,1
110,1
111,1
112,3
113,2
114,0
115,0
116,2
117,2
118,1
119,1
120,1
121,0
122,0
123,0
124,2
125,1
126,1
127,1
128,0
129,0
130,2
131,0
132,1
133,2
134,1
135,0
136,3
137,0
138,2
139,0
140,3
141,2
142,2
143,1
144,1
145,0
146,1
147,1
148,1
149,1
150,1
151,2
152,2
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,0
161,0
162,2
163,2
164,0
165,0
166,2
167,2
168,1
169,1
170,0
171,3
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,1
182,1
183,3
184,2
185,1
186,1
187,1
188,1
189,0
190,0
191,2
192,1
193,3
194,2
195,0
196,0
197,2
198,3
199,0
200,3
201,3
202,0
203,0
204,0
205,0
206,2
207,0
208,0
209,2
210,2
211,1
212,1
213,3
214,1
215,1
216,1
217,0
218,0
219,2
220,0
221,1
222,3
223,0
224,0
225,3
226,3
227,0
228,1
229,1
230,1
231,2
232,0
233,1
234,3
235,3
236,2
237,0
238,0
239,2
240,1
241,1
242,1
243,1
244,1
245,0
246,0
247,0
248,0
249,0
250,3
251,3
252,0
253,0
254,2
255,1
256,1
257,0
258,0
259,0
260,0
261,2
262,1
263,1
264,3
265,3
266,3
267,2
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,3
276,3
277,0
278,1
279,2
280,1
281,1
282,0
283,0
284,0
285,0
286,2
287,2
288,0
289,0
290,2
291,0
292,2
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,0
301,2
302,0
303,0
304,2
305,2
306,2
307,1
308,1
309,1
310,1
311,1
312,1
313,0
314,1
315,0
316,0
317,2
318,1
319,0
320,1
321,1
322,1
323,1
324,1
325,1
326,2
327,0
328,3
329,2
330,3
331,3
332,2
333,1
334,1
335,3
336,3
337,2
338,0
339,0
340,0
341,2
342,2
343,1
344,1
345,3
346,3
347,2
348,1
349,1
350,3
351,2
352,0
353,0
354,2
355,0
356,0
357,2
358,1
359,0
360,0
361,0
362,2
363,1
364,1
365,1
366,1
367,1
368,1
369,0
370,0
371,2
372,2
373,2
374,1
375,0
376,2
377,1
378,1
379,3
380,3
381,3
382,2
383,1
384,0
385,1
386,0
387,2
388,1
389,1
390,1
391,1
392,1
393,0
394,0
395,0
396,2
397,3
398,3
399,2
400,1
401,3
402,3
403,0
404,0
405,2
406,0
407,2
408,1
409,1
410,1
411,1
412,1
413,1
414,2
415,2
416,2
417,3
418,1
419,0
420,1
421,1
422,0
423,0
424,2
425,3
426,3
427,3
428,3
429,3
430,1
431,1
432,2
433,2
434,1
435,1
436,1
437,1
438,3
439,3
440,3
441,0
442,0
443,2
444,3
445,3
446,3
447,2
448,0
449,2
450,0
451,3
452,0
453,0
454,0
455,2
456,1
457,2
458,2
459,1
460,1
461,1
462,0
463,0
464,2
465,0
466,2
467,1
468,0
469,0
470,0
471,2
472,0
473,1
474,2
475,2
476,0
477,3
478,0
479,1
480,2
481,2
482,2
483,2
484,2
485,2
486,1
487,0
488,1
489,0
490,1
491,2
492,1
493,1
494,1
495,1
496,3
497,1
498,2
499,2
500,1
501,3
502,3
503,0
504,2
505,2
506,2
507,2
508,2
509,3
510,3
511,3
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,0
521,0
522,0
523,2
524,2
525,0
526,0
527,1
528,0
529,2
530,3
531,2
532,1
533,0
534,0
535,2
536,0
537,2
538,1
539,2
540,2
541,2
542,3
543,3
544,2
545,1
546,1
547,0
548,0
549,2
550,0
551,0
552,0
553,1
554,0
555,0
556,2
557,1
558,1
559,1
560,1
561,1
562,2
563,2
564,2
565,2
566,0
567,3
568,0
569,2
570,1
571,1
572,1
573,1
574,3
575,0
576,0
577,3
578,3
579,3
580,1
581,2
582,2
583,2
584,2
585,2
586,2
587,3
588,3
589,3
590,2
591,0
592,0
593,2
594,2
595,1
596,2
597,1
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,2
607,2
608,2
609,2
610,2
611,0
612,0
613,2
614,0
615,2
616,2
617,1
618,1
619,2
620,3
621,2
622,1
623,1
624,0
